itemID,comunaCode,locality,startDate,status,eomCount,givCount,serviceable,facility,deliveryType,availableEomOptions,availableGivOptions,PresentinEomnotGiv,PresentinGivnotEom
196568999,130106,13114,2025-03-04,identical,5,5,SERVICEABLE IN BOTH,100,CD,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | COLLECT-COPEC-SCHEDULED | DELIVERY-HOME-SAME_DAY | DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-SCHEDULED | DELIVERY-HOME-NEXT_DAY | DELIVERY-HOME-SAME_DAY | COLLECT-COPEC-SCHEDULED | COLLECT-IN_STORE-SCHEDULED,0,0
196580999,130106,13114,2025-03-04,differ,1,0,SERVICEABLE IN EOM but NOT in GIV,24641,VEVCD,DELIVERY-HOME-SCHEDULED,,DELIVERY-HOME-SCHEDULED,0
196584999,130106,13114,2025-03-04,differ,1,2,SERVICEABLE IN BOTH,24641,VEVCD,DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-DATE_RANGE | DELIVERY-HOME-SCHEDULED,0,DELIVERY-HOME-DATE_RANGE
196591002,130106,13114,2025-03-04,differ,3,0,SERVICEABLE IN EOM but NOT in GIV,89,STORE,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | DELIVERY-HOME-SCHEDULED,,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | DELIVERY-HOME-SCHEDULED,0
196591003,130106,13114,2025-03-04,differ,3,0,SERVICEABLE IN EOM but NOT in GIV,10,STORE,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | DELIVERY-HOME-SCHEDULED,,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | DELIVERY-HOME-SCHEDULED,0
196591004,130106,13114,2025-03-04,differ,3,0,SERVICEABLE IN EOM but NOT in GIV,10,STORE,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | DELIVERY-HOME-SCHEDULED,,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | DELIVERY-HOME-SCHEDULED,0
196591005,130106,13114,2025-03-04,differ,3,0,SERVICEABLE IN EOM but NOT in GIV,10,STORE,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | DELIVERY-HOME-SCHEDULED,,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | DELIVERY-HOME-SCHEDULED,0
196591006,130106,13114,2025-03-04,differ,3,0,SERVICEABLE IN EOM but NOT in GIV,20,STORE,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | DELIVERY-HOME-SCHEDULED,,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | DELIVERY-HOME-SCHEDULED,0
196591007,130106,13114,2025-03-04,differ,3,0,SERVICEABLE IN EOM but NOT in GIV,123,STORE,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | DELIVERY-HOME-SCHEDULED,,DELIVERY-HOME-NEXT_DAY | COLLECT-IN_STORE-SCHEDULED | DELIVERY-HOME-SCHEDULED,0
196603003,130106,13114,2025-03-04,differ,4,5,SERVICEABLE IN BOTH,600,CD,DELIVERY-HOME-NEXT_DAY | DELIVERY-HOME-DATE_RANGE | DELIVERY-HOME-SAME_DAY | DELIVERY-HOME-SCHEDULED,DELIVERY-HOME-DATE_RANGE | DELIVERY-HOME-SCHEDULED | DELIVERY-HOME-NEXT_DAY | DELIVERY-HOME-SAME_DAY | COLLECT-COPEC-SCHEDULED,0,COLLECT-COPEC-SCHEDULED
